antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
rich,video,0.5,0.075,0.075,0.15,2.0,0.0375,1.0882352941176472
rich,has list,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,category for honorary citizens of entity,0.5,0.325,0.325,0.65,2.0,0.1625,1.9285714285714288
rich,escutcheon image,0.5,0.05,0.05,0.1,2.0,0.025,1.0555555555555556
rich,nighttime view,0.5,0.125,0.125,0.25,2.0,0.0625,1.1666666666666667
rich,elevation above sea level,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,coastline,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,per capita income,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,contains the statistical territorial entity,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,inflation rate,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,logo image,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,award received,0.5,0.1,0.1,0.2,2.0,0.05,1.125
rich,vocalized name,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,rural population,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,list of monuments,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,total exports,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,poverty incidence,0.5,0.075,0.075,0.15,2.0,0.0375,1.0882352941176472
rich,has works in the collection,0.5,0.05,0.05,0.1,2.0,0.025,1.0555555555555556
rich,production statistics,0.5,0.05,0.05,0.1,2.0,0.025,1.0555555555555556
rich,urban population,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,speed limit,0.5,0.125,0.125,0.25,2.0,0.0625,1.1666666666666667
rich,participant in,0.5,0.375,0.375,0.75,2.0,0.1875,2.5
rich,Gregorian calendar start date,0.5,0.2,0.2,0.4,2.0,0.1,1.3333333333333335
rich,age of candidacy,0.5,0.1,0.1,0.2,2.0,0.05,1.125
rich,central government debt as a percent of GDP,0.5,0.025,0.025,0.05,2.0,0.0125,1.0263157894736843
rich,retirement age,0.5,0.275,0.275,0.55,2.0,0.1375,1.6111111111111112
